Source,Destination,Time,Length,Protocol,Timestamp,Anomaly,Anomaly_Category,Protocol_Category,Request_Frequency,Source_Category
96,0,44547,511,0,2025-04-14 07:45:02.013270,0,Normal Size,Other,8,Normal
49,0,13919,1210,1,2025-04-13 23:14:34.013270,0,Large Packet,ICMP,13,Normal
41,0,85553,569,0,2025-04-14 19:08:28.013270,0,Normal Size,Other,10,Normal
89,0,10816,1457,0,2025-04-13 22:22:51.013270,0,Large Packet,Other,9,Normal
0,0,128,1418,0,2025-04-13 19:24:43.013270,0,Large Packet,Other,267,Bot Suspect
1,0,162,1435,0,2025-04-13 19:25:17.013270,0,Large Packet,Other,233,Bot Suspect
80,0,5287,807,0,2025-04-13 20:50:42.013270,0,Normal Size,Other,13,Normal
12,0,27446,1414,1,2025-04-14 03:00:01.013270,0,Large Packet,ICMP,9,Normal
80,0,82970,990,0,2025-04-14 18:25:25.013270,0,Normal Size,Other,13,Normal
27,0,25510,1058,1,2025-04-14 02:27:45.013270,0,Large Packet,ICMP,3,Normal
0,0,67,834,0,2025-04-13 19:23:42.013270,0,Normal Size,Other,267,Bot Suspect
51,0,55180,919,0,2025-04-14 10:42:15.013270,0,Normal Size,Other,11,Normal
0,0,104,1306,0,2025-04-13 19:24:19.013270,0,Large Packet,Other,267,Bot Suspect
101,0,54912,600,1,2025-04-14 10:37:47.013270,0,Normal Size,ICMP,18,Normal
1,0,67,1118,0,2025-04-13 19:23:42.013270,0,Large Packet,Other,233,Bot Suspect
48,0,75916,934,1,2025-04-14 16:27:51.013270,0,Normal Size,ICMP,9,Normal
40,0,48770,1436,1,2025-04-14 08:55:25.013270,0,Large Packet,ICMP,5,Normal
0,0,167,1257,0,2025-04-13 19:25:22.013270,0,Large Packet,Other,267,Bot Suspect
10,0,65082,1301,0,2025-04-14 13:27:17.013270,0,Large Packet,Other,13,Normal
39,0,55619,984,0,2025-04-14 10:49:34.013270,0,Normal Size,Other,9,Normal
1,0,197,1332,0,2025-04-13 19:25:52.013270,0,Large Packet,Other,233,Bot Suspect
12,0,6737,585,0,2025-04-13 21:14:52.013270,0,Normal Size,Other,9,Normal
24,0,15317,996,1,2025-04-13 23:37:52.013270,0,Normal Size,ICMP,8,Normal
73,0,11653,1084,1,2025-04-13 22:36:48.013270,0,Large Packet,ICMP,7,Normal
0,0,23,610,1,2025-04-13 19:22:58.013270,0,Normal Size,ICMP,267,Bot Suspect
0,0,220,1215,1,2025-04-13 19:26:15.013270,0,Large Packet,ICMP,267,Bot Suspect
9,0,2396,511,1,2025-04-13 20:02:31.013270,0,Normal Size,ICMP,10,Normal
1,0,196,1131,1,2025-04-13 19:25:51.013270,0,Large Packet,ICMP,233,Bot Suspect
69,0,11561,1280,0,2025-04-13 22:35:16.013270,0,Large Packet,Other,8,Normal
13,0,45893,1174,0,2025-04-14 08:07:28.013270,0,Large Packet,Other,14,Normal
0,0,89,802,0,2025-04-13 19:24:04.013270,0,Normal Size,Other,267,Bot Suspect
17,0,1917,534,1,2025-04-13 19:54:32.013270,0,Normal Size,ICMP,6,Normal
59,0,26015,1225,0,2025-04-14 02:36:10.013270,0,Large Packet,Other,11,Normal
1,0,115,964,0,2025-04-13 19:24:30.013270,0,Normal Size,Other,233,Bot Suspect
101,0,32196,1053,1,2025-04-14 04:19:11.013270,0,Large Packet,ICMP,18,Normal
99,0,30087,762,1,2025-04-14 03:44:02.013270,0,Normal Size,ICMP,9,Normal
31,0,56276,1018,0,2025-04-14 11:00:31.013270,0,Large Packet,Other,10,Normal
22,0,13350,1321,1,2025-04-13 23:05:05.013270,0,Large Packet,ICMP,11,Normal
61,0,19975,1118,1,2025-04-14 00:55:30.013270,0,Large Packet,ICMP,19,Normal
12,0,3797,538,1,2025-04-13 20:25:52.013270,0,Normal Size,ICMP,9,Normal
0,0,16,542,0,2025-04-13 19:22:51.013270,0,Normal Size,Other,267,Bot Suspect
14,0,21427,1463,0,2025-04-14 01:19:42.013270,0,Large Packet,Other,13,Normal
50,0,20022,1314,1,2025-04-14 00:56:17.013270,0,Large Packet,ICMP,12,Normal
0,0,27,865,1,2025-04-13 19:23:02.013270,0,Normal Size,ICMP,267,Bot Suspect
25,0,1007,750,1,2025-04-13 19:39:22.013270,0,Normal Size,ICMP,12,Normal
1,0,247,1358,1,2025-04-13 19:26:42.013270,0,Large Packet,ICMP,233,Bot Suspect
0,0,203,1446,1,2025-04-13 19:25:58.013270,0,Large Packet,ICMP,267,Bot Suspect
72,0,26958,549,1,2025-04-14 02:51:53.013270,0,Normal Size,ICMP,8,Normal
0,0,239,1193,0,2025-04-13 19:26:34.013270,0,Large Packet,Other,267,Bot Suspect
20,0,85956,631,1,2025-04-14 19:15:11.013270,0,Normal Size,ICMP,10,Normal
101,0,51693,629,1,2025-04-14 09:44:08.013270,0,Normal Size,ICMP,18,Normal
0,0,181,1316,0,2025-04-13 19:25:36.013270,0,Large Packet,Other,267,Bot Suspect
55,0,55318,730,0,2025-04-14 10:44:33.013270,0,Normal Size,Other,9,Normal
80,0,10789,1101,0,2025-04-13 22:22:24.013270,0,Large Packet,Other,13,Normal
0,0,5,553,1,2025-04-13 19:22:40.013270,0,Normal Size,ICMP,267,Bot Suspect
99,0,33062,1398,0,2025-04-14 04:33:37.013270,0,Large Packet,Other,9,Normal
88,0,36877,976,0,2025-04-14 05:37:12.013270,0,Normal Size,Other,10,Normal
81,0,26630,1083,1,2025-04-14 02:46:25.013270,0,Large Packet,ICMP,8,Normal
0,0,185,1073,1,2025-04-13 19:25:40.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,293,1324,0,2025-04-13 19:27:28.013270,0,Large Packet,Other,233,Bot Suspect
29,0,29192,918,1,2025-04-14 03:29:07.013270,0,Normal Size,ICMP,18,Normal
101,0,71626,1147,1,2025-04-14 15:16:21.013270,0,Large Packet,ICMP,18,Normal
73,0,67779,907,0,2025-04-14 14:12:14.013270,0,Normal Size,Other,7,Normal
30,0,50072,627,1,2025-04-14 09:17:07.013270,0,Normal Size,ICMP,9,Normal
1,0,164,1445,0,2025-04-13 19:25:19.013270,0,Large Packet,Other,233,Bot Suspect
10,0,54771,1051,1,2025-04-14 10:35:26.013270,0,Large Packet,ICMP,13,Normal
61,0,8512,1147,0,2025-04-13 21:44:27.013270,0,Large Packet,Other,19,Normal
12,0,70326,941,0,2025-04-14 14:54:41.013270,0,Normal Size,Other,9,Normal
53,0,39915,1465,0,2025-04-14 06:27:50.013270,0,Large Packet,Other,7,Normal
81,0,27856,741,1,2025-04-14 03:06:51.013270,0,Normal Size,ICMP,8,Normal
70,0,23051,1444,1,2025-04-14 01:46:46.013270,0,Large Packet,ICMP,7,Normal
0,0,289,1027,1,2025-04-13 19:27:24.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,54,1295,1,2025-04-13 19:23:29.013270,0,Large Packet,ICMP,233,Bot Suspect
0,0,182,1320,0,2025-04-13 19:25:37.013270,0,Large Packet,Other,267,Bot Suspect
56,0,55761,1127,1,2025-04-14 10:51:56.013270,0,Large Packet,ICMP,15,Normal
37,0,57384,1230,1,2025-04-14 11:18:59.013270,0,Large Packet,ICMP,5,Normal
0,0,273,591,0,2025-04-13 19:27:08.013270,0,Normal Size,Other,267,Bot Suspect
86,0,73479,689,1,2025-04-14 15:47:14.013270,0,Normal Size,ICMP,8,Normal
35,0,45084,715,1,2025-04-14 07:53:59.013270,0,Normal Size,ICMP,12,Normal
0,0,133,1096,1,2025-04-13 19:24:48.013270,0,Large Packet,ICMP,267,Bot Suspect
8,0,36455,952,0,2025-04-14 05:30:10.013270,0,Normal Size,Other,10,Normal
78,0,8007,644,1,2025-04-13 21:36:02.013270,0,Normal Size,ICMP,8,Normal
83,0,27490,1175,1,2025-04-14 03:00:45.013270,0,Large Packet,ICMP,7,Normal
0,0,259,1431,0,2025-04-13 19:26:54.013270,0,Large Packet,Other,267,Bot Suspect
1,0,158,636,1,2025-04-13 19:25:13.013270,0,Normal Size,ICMP,233,Bot Suspect
39,0,25559,640,0,2025-04-14 02:28:34.013270,0,Normal Size,Other,9,Normal
1,0,45,1088,1,2025-04-13 19:23:20.013270,0,Large Packet,ICMP,233,Bot Suspect
24,0,58053,970,1,2025-04-14 11:30:08.013270,0,Normal Size,ICMP,8,Normal
1,0,61,687,0,2025-04-13 19:23:36.013270,0,Normal Size,Other,233,Bot Suspect
75,0,63852,628,1,2025-04-14 13:06:47.013270,0,Normal Size,ICMP,12,Normal
89,0,1435,833,1,2025-04-13 19:46:30.013270,0,Normal Size,ICMP,9,Normal
18,0,41832,1162,0,2025-04-14 06:59:47.013270,0,Large Packet,Other,13,Normal
6,0,41846,1248,0,2025-04-14 07:00:01.013270,0,Large Packet,Other,13,Normal
52,0,64881,1214,0,2025-04-14 13:23:56.013270,0,Large Packet,Other,12,Normal
90,0,25053,875,1,2025-04-14 02:20:08.013270,0,Normal Size,ICMP,14,Normal
60,0,61413,1045,1,2025-04-14 12:26:08.013270,0,Large Packet,ICMP,12,Normal
7,0,35954,1302,0,2025-04-14 05:21:49.013270,0,Large Packet,Other,10,Normal
0,0,45,818,1,2025-04-13 19:23:20.013270,0,Normal Size,ICMP,267,Bot Suspect
9,0,13718,1224,1,2025-04-13 23:11:13.013270,0,Large Packet,ICMP,10,Normal
80,0,49708,1079,0,2025-04-14 09:11:03.013270,0,Large Packet,Other,13,Normal
0,0,138,913,1,2025-04-13 19:24:53.013270,0,Normal Size,ICMP,267,Bot Suspect
74,0,72750,668,0,2025-04-14 15:35:05.013270,0,Normal Size,Other,10,Normal
101,0,51474,542,0,2025-04-14 09:40:29.013270,0,Normal Size,Other,18,Normal
2,0,42229,948,1,2025-04-14 07:06:24.013270,0,Normal Size,ICMP,16,Normal
1,0,156,1008,0,2025-04-13 19:25:11.013270,0,Large Packet,Other,233,Bot Suspect
82,0,72101,962,1,2025-04-14 15:24:16.013270,0,Normal Size,ICMP,7,Normal
79,0,19426,997,1,2025-04-14 00:46:21.013270,0,Normal Size,ICMP,6,Normal
0,0,155,881,1,2025-04-13 19:25:10.013270,0,Normal Size,ICMP,267,Bot Suspect
50,0,60,1496,1,2025-04-13 19:23:35.013270,0,Large Packet,ICMP,12,Normal
1,0,205,698,1,2025-04-13 19:26:00.013270,0,Normal Size,ICMP,233,Bot Suspect
1,0,42,1138,0,2025-04-13 19:23:17.013270,0,Large Packet,Other,233,Bot Suspect
1,0,116,1462,1,2025-04-13 19:24:31.013270,0,Large Packet,ICMP,233,Bot Suspect
94,0,20618,1288,0,2025-04-14 01:06:13.013270,0,Large Packet,Other,19,Normal
32,0,66358,915,1,2025-04-14 13:48:33.013270,0,Normal Size,ICMP,12,Normal
0,0,82,1433,0,2025-04-13 19:23:57.013270,0,Large Packet,Other,267,Bot Suspect
17,0,1279,1456,1,2025-04-13 19:43:54.013270,0,Large Packet,ICMP,6,Normal
1,0,149,1039,1,2025-04-13 19:25:04.013270,0,Large Packet,ICMP,233,Bot Suspect
47,0,72303,1060,0,2025-04-14 15:27:38.013270,0,Large Packet,Other,11,Normal
0,0,42,1049,1,2025-04-13 19:23:17.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,207,1158,1,2025-04-13 19:26:02.013270,0,Large Packet,ICMP,233,Bot Suspect
87,0,82189,760,1,2025-04-14 18:12:24.013270,0,Normal Size,ICMP,15,Normal
22,0,67649,884,0,2025-04-14 14:10:04.013270,0,Normal Size,Other,11,Normal
15,0,28746,1476,0,2025-04-14 03:21:41.013270,0,Large Packet,Other,7,Normal
40,0,78344,844,0,2025-04-14 17:08:19.013270,0,Normal Size,Other,5,Normal
17,0,29402,1149,0,2025-04-14 03:32:37.013270,0,Large Packet,Other,6,Normal
1,0,78,1321,0,2025-04-13 19:23:53.013270,0,Large Packet,Other,233,Bot Suspect
1,0,2,675,1,2025-04-13 19:22:37.013270,0,Normal Size,ICMP,233,Bot Suspect
0,0,58,686,0,2025-04-13 19:23:33.013270,0,Normal Size,Other,267,Bot Suspect
7,0,40042,1242,1,2025-04-14 06:29:57.013270,0,Large Packet,ICMP,10,Normal
21,0,82050,628,1,2025-04-14 18:10:05.013270,0,Normal Size,ICMP,9,Normal
1,0,25,1236,0,2025-04-13 19:23:00.013270,0,Large Packet,Other,233,Bot Suspect
22,0,81974,1155,0,2025-04-14 18:08:49.013270,0,Large Packet,Other,11,Normal
0,0,88,954,1,2025-04-13 19:24:03.013270,0,Normal Size,ICMP,267,Bot Suspect
42,0,60774,807,0,2025-04-14 12:15:29.013270,0,Normal Size,Other,9,Normal
52,0,33742,1060,1,2025-04-14 04:44:57.013270,0,Large Packet,ICMP,12,Normal
31,0,5415,1445,0,2025-04-13 20:52:50.013270,0,Large Packet,Other,10,Normal
1,0,194,572,1,2025-04-13 19:25:49.013270,0,Normal Size,ICMP,233,Bot Suspect
1,0,277,941,0,2025-04-13 19:27:12.013270,0,Normal Size,Other,233,Bot Suspect
39,0,57492,904,0,2025-04-14 11:20:47.013270,0,Normal Size,Other,9,Normal
62,0,67675,1120,0,2025-04-14 14:10:30.013270,0,Large Packet,Other,13,Normal
0,0,270,854,0,2025-04-13 19:27:05.013270,0,Normal Size,Other,267,Bot Suspect
23,0,66081,672,0,2025-04-14 13:43:56.013270,0,Normal Size,Other,10,Normal
1,0,60,862,1,2025-04-13 19:23:35.013270,0,Normal Size,ICMP,233,Bot Suspect
59,0,2336,1190,1,2025-04-13 20:01:31.013270,0,Large Packet,ICMP,11,Normal
66,0,60545,1416,1,2025-04-14 12:11:40.013270,0,Large Packet,ICMP,10,Normal
6,0,52326,844,0,2025-04-14 09:54:41.013270,0,Normal Size,Other,13,Normal
13,0,24262,740,1,2025-04-14 02:06:57.013270,0,Normal Size,ICMP,14,Normal
0,0,251,1060,1,2025-04-13 19:26:46.013270,0,Large Packet,ICMP,267,Bot Suspect
0,0,279,1398,1,2025-04-13 19:27:14.013270,0,Large Packet,ICMP,267,Bot Suspect
75,0,75683,1289,0,2025-04-14 16:23:58.013270,0,Large Packet,Other,12,Normal
38,0,67526,1004,1,2025-04-14 14:08:01.013270,0,Large Packet,ICMP,4,Normal
40,0,48285,835,0,2025-04-14 08:47:20.013270,0,Normal Size,Other,5,Normal
76,0,44738,541,1,2025-04-14 07:48:13.013270,0,Normal Size,ICMP,8,Normal
1,0,118,1394,0,2025-04-13 19:24:33.013270,0,Large Packet,Other,233,Bot Suspect
33,0,26292,509,0,2025-04-14 02:40:47.013270,0,Normal Size,Other,7,Normal
97,0,49138,981,0,2025-04-14 09:01:33.013270,0,Normal Size,Other,10,Normal
67,0,50192,591,1,2025-04-14 09:19:07.013270,0,Normal Size,ICMP,5,Normal
84,0,54756,1114,0,2025-04-14 10:35:11.013270,0,Large Packet,Other,4,Normal
0,0,290,1019,0,2025-04-13 19:27:25.013270,0,Large Packet,Other,267,Bot Suspect
1,0,107,712,1,2025-04-13 19:24:22.013270,0,Normal Size,ICMP,233,Bot Suspect
25,0,18639,803,1,2025-04-14 00:33:14.013270,0,Normal Size,ICMP,12,Normal
57,0,53268,598,0,2025-04-14 10:10:23.013270,0,Normal Size,Other,10,Normal
1,0,64,1125,0,2025-04-13 19:23:39.013270,0,Large Packet,Other,233,Bot Suspect
0,0,53,868,1,2025-04-13 19:23:28.013270,0,Normal Size,ICMP,267,Bot Suspect
20,0,69298,935,0,2025-04-14 14:37:33.013270,0,Normal Size,Other,10,Normal
8,0,64674,1455,1,2025-04-14 13:20:29.013270,0,Large Packet,ICMP,10,Normal
0,0,174,1355,0,2025-04-13 19:25:29.013270,0,Large Packet,Other,267,Bot Suspect
66,0,24160,811,1,2025-04-14 02:05:15.013270,0,Normal Size,ICMP,10,Normal
100,0,37198,810,0,2025-04-14 05:42:33.013270,0,Normal Size,Other,7,Normal
80,0,11246,1465,0,2025-04-13 22:30:01.013270,0,Large Packet,Other,13,Normal
61,0,16389,1461,0,2025-04-13 23:55:44.013270,0,Large Packet,Other,19,Normal
17,0,80910,522,0,2025-04-14 17:51:05.013270,0,Normal Size,Other,6,Normal
1,0,191,879,0,2025-04-13 19:25:46.013270,0,Normal Size,Other,233,Bot Suspect
39,0,35400,629,1,2025-04-14 05:12:35.013270,0,Normal Size,ICMP,9,Normal
40,0,15313,1235,1,2025-04-13 23:37:48.013270,0,Large Packet,ICMP,5,Normal
1,0,273,1394,1,2025-04-13 19:27:08.013270,0,Large Packet,ICMP,233,Bot Suspect
0,0,222,791,1,2025-04-13 19:26:17.013270,0,Normal Size,ICMP,267,Bot Suspect
0,0,180,813,0,2025-04-13 19:25:35.013270,0,Normal Size,Other,267,Bot Suspect
0,0,53,794,0,2025-04-13 19:23:28.013270,0,Normal Size,Other,267,Bot Suspect
8,0,4263,926,0,2025-04-13 20:33:38.013270,0,Normal Size,Other,10,Normal
61,0,7314,618,1,2025-04-13 21:24:29.013270,0,Normal Size,ICMP,19,Normal
61,0,74038,987,1,2025-04-14 15:56:33.013270,0,Normal Size,ICMP,19,Normal
29,0,1750,1296,0,2025-04-13 19:51:45.013270,0,Large Packet,Other,18,Normal
80,0,36408,941,0,2025-04-14 05:29:23.013270,0,Normal Size,Other,13,Normal
61,0,12182,1109,0,2025-04-13 22:45:37.013270,0,Large Packet,Other,19,Normal
1,0,203,1129,1,2025-04-13 19:25:58.013270,0,Large Packet,ICMP,233,Bot Suspect
22,0,71260,1491,0,2025-04-14 15:10:15.013270,0,Large Packet,Other,11,Normal
39,0,38559,736,1,2025-04-14 06:05:14.013270,0,Normal Size,ICMP,9,Normal
64,0,74744,1282,1,2025-04-14 16:08:19.013270,0,Large Packet,ICMP,8,Normal
0,0,176,570,0,2025-04-13 19:25:31.013270,0,Normal Size,Other,267,Bot Suspect
68,0,54842,1284,1,2025-04-14 10:36:37.013270,0,Large Packet,ICMP,12,Normal
83,0,8705,1087,1,2025-04-13 21:47:40.013270,0,Large Packet,ICMP,7,Normal
97,0,56138,1267,1,2025-04-14 10:58:13.013270,0,Large Packet,ICMP,10,Normal
77,0,18574,1493,1,2025-04-14 00:32:09.013270,0,Large Packet,ICMP,7,Normal
92,0,81941,861,1,2025-04-14 18:08:16.013270,0,Normal Size,ICMP,20,Normal
97,0,32921,1240,1,2025-04-14 04:31:16.013270,0,Large Packet,ICMP,10,Normal
78,0,5626,1245,1,2025-04-13 20:56:21.013270,0,Large Packet,ICMP,8,Normal
89,0,846,1218,1,2025-04-13 19:36:41.013270,0,Large Packet,ICMP,9,Normal
51,0,32913,1243,0,2025-04-14 04:31:08.013270,0,Large Packet,Other,11,Normal
37,0,8567,802,0,2025-04-13 21:45:22.013270,0,Normal Size,Other,5,Normal
44,0,63416,516,1,2025-04-14 12:59:31.013270,0,Normal Size,ICMP,12,Normal
52,0,60112,663,0,2025-04-14 12:04:27.013270,0,Normal Size,Other,12,Normal
1,0,234,1232,1,2025-04-13 19:26:29.013270,0,Large Packet,ICMP,233,Bot Suspect
26,0,17482,1315,0,2025-04-14 00:13:57.013270,0,Large Packet,Other,10,Normal
0,0,196,1323,1,2025-04-13 19:25:51.013270,0,Large Packet,ICMP,267,Bot Suspect
70,0,81121,529,1,2025-04-14 17:54:36.013270,0,Normal Size,ICMP,7,Normal
92,0,21566,993,1,2025-04-14 01:22:01.013270,0,Normal Size,ICMP,20,Normal
0,0,186,670,0,2025-04-13 19:25:41.013270,0,Normal Size,Other,267,Bot Suspect
71,0,59129,1485,0,2025-04-14 11:48:04.013270,0,Large Packet,Other,6,Normal
94,0,80818,1202,1,2025-04-14 17:49:33.013270,0,Large Packet,ICMP,19,Normal
25,0,23752,1085,0,2025-04-14 01:58:27.013270,0,Large Packet,Other,12,Normal
83,0,24826,1385,1,2025-04-14 02:16:21.013270,0,Large Packet,ICMP,7,Normal
1,0,147,1431,1,2025-04-13 19:25:02.013270,0,Large Packet,ICMP,233,Bot Suspect
71,0,15850,1485,1,2025-04-13 23:46:45.013270,0,Large Packet,ICMP,6,Normal
2,0,41914,840,0,2025-04-14 07:01:09.013270,0,Normal Size,Other,16,Normal
0,0,265,867,1,2025-04-13 19:27:00.013270,0,Normal Size,ICMP,267,Bot Suspect
5,0,11046,1461,0,2025-04-13 22:26:41.013270,0,Large Packet,Other,4,Normal
50,0,14199,1414,0,2025-04-13 23:19:14.013270,0,Large Packet,Other,12,Normal
0,0,38,1027,0,2025-04-13 19:23:13.013270,0,Large Packet,Other,267,Bot Suspect
63,0,51356,1360,1,2025-04-14 09:38:31.013270,0,Large Packet,ICMP,9,Normal
1,0,115,970,0,2025-04-13 19:24:30.013270,0,Normal Size,Other,233,Bot Suspect
92,0,13760,1154,0,2025-04-13 23:11:55.013270,0,Large Packet,Other,20,Normal
98,0,20953,1286,0,2025-04-14 01:11:48.013270,0,Large Packet,Other,13,Normal
39,0,2198,1336,1,2025-04-13 19:59:13.013270,0,Large Packet,ICMP,9,Normal
99,0,30523,1334,1,2025-04-14 03:51:18.013270,0,Large Packet,ICMP,9,Normal
21,0,8820,844,1,2025-04-13 21:49:35.013270,0,Normal Size,ICMP,9,Normal
0,0,90,1302,1,2025-04-13 19:24:05.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,87,520,0,2025-04-13 19:24:02.013270,0,Normal Size,Other,233,Bot Suspect
1,0,97,776,1,2025-04-13 19:24:12.013270,0,Normal Size,ICMP,233,Bot Suspect
2,0,46167,629,1,2025-04-14 08:12:02.013270,0,Normal Size,ICMP,16,Normal
62,0,37641,1156,0,2025-04-14 05:49:56.013270,0,Large Packet,Other,13,Normal
1,0,271,1040,0,2025-04-13 19:27:06.013270,0,Large Packet,Other,233,Bot Suspect
81,0,23510,850,1,2025-04-14 01:54:25.013270,0,Normal Size,ICMP,8,Normal
1,0,289,553,1,2025-04-13 19:27:24.013270,0,Normal Size,ICMP,233,Bot Suspect
99,0,39063,1129,0,2025-04-14 06:13:38.013270,0,Large Packet,Other,9,Normal
57,0,23411,958,0,2025-04-14 01:52:46.013270,0,Normal Size,Other,10,Normal
0,0,28,1443,0,2025-04-13 19:23:03.013270,0,Large Packet,Other,267,Bot Suspect
11,0,67728,934,0,2025-04-14 14:11:23.013270,0,Normal Size,Other,15,Normal
82,0,20581,1214,1,2025-04-14 01:05:36.013270,0,Large Packet,ICMP,7,Normal
98,0,24442,944,1,2025-04-14 02:09:57.013270,0,Normal Size,ICMP,13,Normal
1,0,140,734,1,2025-04-13 19:24:55.013270,0,Normal Size,ICMP,233,Bot Suspect
44,0,5408,835,0,2025-04-13 20:52:43.013270,0,Normal Size,Other,12,Normal
1,0,137,1105,0,2025-04-13 19:24:52.013270,0,Large Packet,Other,233,Bot Suspect
0,0,73,1271,1,2025-04-13 19:23:48.013270,0,Large Packet,ICMP,267,Bot Suspect
14,0,46828,1267,0,2025-04-14 08:23:03.013270,0,Large Packet,Other,13,Normal
98,0,42078,1486,0,2025-04-14 07:03:53.013270,1,Large Packet,Other,13,Normal
0,0,56,1048,0,2025-04-13 19:23:31.013270,0,Large Packet,Other,267,Bot Suspect
1,0,21,868,0,2025-04-13 19:22:56.013270,0,Normal Size,Other,233,Bot Suspect
1,0,108,636,0,2025-04-13 19:24:23.013270,0,Normal Size,Other,233,Bot Suspect
6,0,54917,858,1,2025-04-14 10:37:52.013270,0,Normal Size,ICMP,13,Normal
0,0,99,1355,0,2025-04-13 19:24:14.013270,0,Large Packet,Other,267,Bot Suspect
93,0,2050,1256,1,2025-04-13 19:56:45.013270,0,Large Packet,ICMP,5,Normal
36,0,79083,962,0,2025-04-14 17:20:38.013270,0,Normal Size,Other,11,Normal
15,0,64323,528,0,2025-04-14 13:14:38.013270,0,Normal Size,Other,7,Normal
25,0,61681,1263,1,2025-04-14 12:30:36.013270,0,Large Packet,ICMP,12,Normal
21,0,35435,1226,0,2025-04-14 05:13:10.013270,0,Large Packet,Other,9,Normal
0,0,279,1075,0,2025-04-13 19:27:14.013270,0,Large Packet,Other,267,Bot Suspect
5,0,70507,849,0,2025-04-14 14:57:42.013270,0,Normal Size,Other,4,Normal
43,0,32733,535,1,2025-04-14 04:28:08.013270,0,Normal Size,ICMP,7,Normal
28,0,47064,1036,0,2025-04-14 08:26:59.013270,0,Large Packet,Other,12,Normal
49,0,73609,648,0,2025-04-14 15:49:24.013270,0,Normal Size,Other,13,Normal
45,0,26143,525,1,2025-04-14 02:38:18.013270,0,Normal Size,ICMP,11,Normal
0,0,282,1073,0,2025-04-13 19:27:17.013270,0,Large Packet,Other,267,Bot Suspect
0,0,272,1082,0,2025-04-13 19:27:07.013270,0,Large Packet,Other,267,Bot Suspect
0,0,23,979,1,2025-04-13 19:22:58.013270,0,Normal Size,ICMP,267,Bot Suspect
1,0,58,1269,0,2025-04-13 19:23:33.013270,0,Large Packet,Other,233,Bot Suspect
42,0,16371,1341,1,2025-04-13 23:55:26.013270,0,Large Packet,ICMP,9,Normal
13,0,80435,1200,1,2025-04-14 17:43:10.013270,0,Large Packet,ICMP,14,Normal
0,0,2,761,1,2025-04-13 19:22:37.013270,0,Normal Size,ICMP,267,Bot Suspect
0,0,15,1284,0,2025-04-13 19:22:50.013270,0,Large Packet,Other,267,Bot Suspect
71,0,54237,899,0,2025-04-14 10:26:32.013270,0,Normal Size,Other,6,Normal
21,0,43303,761,1,2025-04-14 07:24:18.013270,0,Normal Size,ICMP,9,Normal
36,0,59321,712,1,2025-04-14 11:51:16.013270,0,Normal Size,ICMP,11,Normal
10,0,44813,1177,1,2025-04-14 07:49:28.013270,0,Large Packet,ICMP,13,Normal
0,0,277,1424,0,2025-04-13 19:27:12.013270,0,Large Packet,Other,267,Bot Suspect
61,0,44569,738,1,2025-04-14 07:45:24.013270,0,Normal Size,ICMP,19,Normal
92,0,83559,1422,1,2025-04-14 18:35:14.013270,0,Large Packet,ICMP,20,Normal
0,0,6,1255,1,2025-04-13 19:22:41.013270,0,Large Packet,ICMP,267,Bot Suspect
1,0,106,1347,1,2025-04-13 19:24:21.013270,0,Large Packet,ICMP,233,Bot Suspect
97,0,33719,1280,0,2025-04-14 04:44:34.013270,0,Large Packet,Other,10,Normal
43,0,81449,627,0,2025-04-14 18:00:04.013270,0,Normal Size,Other,7,Normal
8,0,28529,1172,0,2025-04-14 03:18:04.013270,0,Large Packet,Other,10,Normal
32,0,15328,790,0,2025-04-13 23:38:03.013270,0,Normal Size,Other,12,Normal
92,0,81412,780,0,2025-04-14 17:59:27.013270,0,Normal Size,Other,20,Normal
45,0,45004,1302,0,2025-04-14 07:52:39.013270,0,Large Packet,Other,11,Normal
0,0,6,918,1,2025-04-13 19:22:41.013270,0,Normal Size,ICMP,267,Bot Suspect
98,0,51886,966,0,2025-04-14 09:47:21.013270,0,Normal Size,Other,13,Normal
1,0,160,980,1,2025-04-13 19:25:15.013270,0,Normal Size,ICMP,233,Bot Suspect
65,0,27632,1469,0,2025-04-14 03:03:07.013270,0,Large Packet,Other,8,Normal
0,0,282,969,0,2025-04-13 19:27:17.013270,0,Normal Size,Other,267,Bot Suspect
0,0,215,883,1,2025-04-13 19:26:10.013270,0,Normal Size,ICMP,267,Bot Suspect
11,0,22180,605,1,2025-04-14 01:32:15.013270,0,Normal Size,ICMP,15,Normal
0,0,8,1423,1,2025-04-13 19:22:43.013270,0,Large Packet,ICMP,267,Bot Suspect
21,0,49840,1455,1,2025-04-14 09:13:15.013270,0,Large Packet,ICMP,9,Normal
0,0,58,1352,0,2025-04-13 19:23:33.013270,0,Large Packet,Other,267,Bot Suspect
0,0,82,1253,1,2025-04-13 19:23:57.013270,0,Large Packet,ICMP,267,Bot Suspect
24,0,43925,841,0,2025-04-14 07:34:40.013270,0,Normal Size,Other,8,Normal
68,0,30561,1053,1,2025-04-14 03:51:56.013270,0,Large Packet,ICMP,12,Normal
6,0,20049,616,1,2025-04-14 00:56:44.013270,0,Normal Size,ICMP,13,Normal
